what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1563544207005
locale,sysinfo,,,"en_US",1563544207005
processors,sysinfo,,,"8",1563544207005
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1563544207005
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1563544207005
java.specification.name,sysinfo,,,"Java Platform API Specification",1563544207005
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1563544207005
java.specification.version,sysinfo,,,"1.6",1563544207005
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1563544207005
java.version,sysinfo,,,"1.6.0_23",1563544207005
java.vm.info,sysinfo,,,"mixed mode",1563544207005
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1563544207005
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1563544207005
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1563544207005
java.vm.specification.version,sysinfo,,,"1.0",1563544207005
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1563544207005
java.vm.version,sysinfo,,,"19.0-b09",1563544207005
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1563544207292
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1563544207292
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1563544207323
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1563544207351
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1563544207374
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1563544209504
opened,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1563544210069
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1563544210204
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1563544210251
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1563544210546
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1563544210972
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1563544212442
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1563544214466
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1563544214610
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1563544214630
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563544217597
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1563544222938
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563544228753
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563544232083
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563544236150
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563544244629
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563544246261
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1563544246647
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1563544247611
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563544248131
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1563544248479
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1563544248479
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1563544248479
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1563544248479
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1563544248479
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1563544248479
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1563544248479
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1563544248479
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1563544248480
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1563544248481
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.traditional",1563544248481
stopped,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1563544248482
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1563544248482
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.ui",1563544248482
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1563544248482
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1563544248482
stopped,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1563544248482
