what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563349887018
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563350034039
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563350044343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563350055943
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1563350057274
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1563350061212
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1563350064829
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1563350066603
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1563350067709
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563350081487
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563350234488
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563350234530
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563350846135
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563350849621
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563350916410
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563350926869
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1563350926918
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563350959919
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563351175365
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563351175466
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1563351233246
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563351237684
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563351628319
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1563351714475
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1563351885671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563351889187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563352075161
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1563352094707
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1563352101240
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1563352101637
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1563352101829
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1563352101961
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1563352102150
